,count,mean,std,min,25%,50%,75%,max
Brain,18989.0,3.3033978333581513,2.671990517822208,0.0,0.22876328994261322,3.3638859383401343,5.3596265856410055,15.099557393649667
Univ Stratagene,18989.0,3.1883681376440243,2.6522742352407294,0.0,0.28763777297445065,3.1540743979277415,5.221169476726622,13.34453171379466
Univ DriverMap,18989.0,3.052193611114011,2.7191636646534207,0.0,0.0,2.942548285120338,5.153225710132751,13.315347721042532
Univ Clontech,18989.0,3.6191606277789576,2.4466429515756056,0.0,1.6421331604653417,3.6878445487454234,5.389577136356323,13.558564210280624
Univ BioChain,18989.0,2.473418181079899,2.4712882625846886,0.0,0.0,2.0553449147755996,4.184589750263285,15.569597537412
Univ Rare,18989.0,3.512246954930212,2.4615998702304145,0.0,1.4916017248957811,3.5763286369255596,5.284540043482855,13.873098008760122
WB-Activated,18989.0,2.509878595795593,2.7032808915112105,0.0,0.0,1.743467573974755,4.519233657240923,14.63548573794323
WB-Disease,18989.0,2.876089349411861,2.780756552116007,0.0,0.0,2.5628505179570804,5.084013225145991,13.637190894068558
Univ ImmuneT10,18989.0,3.2626808929644846,2.4945584786684867,0.0,1.0039116094257414,3.2539711190092206,5.054891878720654,14.502769660454025
Hemat System3,18989.0,2.953104015494829,2.5579999820239245,0.0,0.12416929744684851,2.8035019077273025,4.807823721770066,14.745117556439114
NegC_B67,18989.0,2.4037168905821016,3.0182414290441177,0.0,0.0,0.0,5.516043521408568,17.75675827527008
