	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9
14266|CENPU	17.6049	23.5328	0	0.294876	43.1086	70.5092	21.4151	1.14305	47.1621	1.43697	96.9637	13.5832	20.4939	0	0.546198	48.0853	74.5922	26.2737	1.19616	45.7182	2.83643	122.247
13331|PEX14	19.0875	14.0867	0	27.6719	25.0007	17.3389	25.8481	12.432	18.0801	10.5205	29.2962	21.9825	17.6219	0	33.521	26.2342	24.6579	36.1554	15.8486	18.2087	14.8246	34.4379
6630|RAD52	3.66106	4.29017	0	5.27408	6.98958	3.28098	4.90895	1.53928	5.35737	1.73986	4.92102	7.40855	6.29135	3.60232	7.17018	10.8381	6.08676	6.61974	3.46454	7.99667	2.2773	8.2883
16802|CLYBL	11.475	12.5854	34.475	16.8947	14.2818	4.92852	30.367	28.9425	15.5204	7.25044	18.3999	8.43741	9.44277	38.9004	11.17	12.2971	4.87524	24.4683	21.3869	12.0077	3.81662	16.9272
6645|RANBP1	71.6405	79.2228	0	45.9979	218.588	143.561	82.0965	30.9546	70.3201	51.5009	134.604	40.846	66.1081	7.38547	35.4802	105.357	93.0535	46.6561	24.7328	47.3868	41.9063	118.229
12149|KDF1	4.0895	1.36801	0	2.34366	3.89424	12.6914	5.64246	3.7198	4.32986	0.848539	0.286133	6.51139	2.20642	50.6123	2.06504	5.2677	20.1202	9.16136	5.8377	7.65968	1.28784	0.0623919
11733|TBC1D30	5.03239	1.89082	0	17.1847	4.11867	10.0681	6.13843	0.273133	2.21104	4.4214	0.906633	7.8356	2.5745	39.5233	25.4275	6.12935	14.8292	9.96252	0.902245	3.01257	6.30404	1.48526
14535|TMEM258	285.903	215.581	0	104.704	273.582	210.425	96.1288	56.5927	105.653	98.6008	192.385	141.747	122.852	0	64.4326	209.092	160.115	72.5049	40.6887	81.9056	73.3267	150.273
12400|LRG1	4.64109	23.3887	42.0129	0.518981	7.74078	6.23743	5.47334	83.3512	2.34881	85.5338	18.9443	7.68486	27.5981	8.02414	0.809498	8.85698	8.93825	6.20171	93.2369	3.41874	95.2469	22.0047
11931|HYAL1	14.6968	31.7316	48.3465	2.42191	15.7943	1.62344	26.5115	72.7231	4.24302	0.743772	0.460187	23.0546	51.9674	22.1684	3.31894	25.625	3.17996	36.5811	112.602	8.255	1.79711	0.400086
